scenario,pm_mean,pm_std,pm_n,pm_min,pm_max,pm_cv,ci_halfwidth,ci_precision,ci_lower,ci_upper,unit,pm
11,12.0,0.0,15,12.0,12.0,0.0,0.0,0.0,12.0,12.0,ldr,occ_p95_ldr
12,12.0,0.0,15,12.0,12.0,0.0,0.0,0.0,12.0,12.0,ldr,occ_p95_ldr
13,10.0,0.0,15,10.0,10.0,0.0,0.0,0.0,10.0,10.0,ldr,occ_p95_ldr
14,10.0,0.0,15,10.0,10.0,0.0,0.0,0.0,10.0,10.0,ldr,occ_p95_ldr
15,12.0,0.0,15,12.0,12.0,0.0,0.0,0.0,12.0,12.0,ldr,occ_p95_ldr
16,12.0,0.0,15,12.0,12.0,0.0,0.0,0.0,12.0,12.0,ldr,occ_p95_ldr
1,9.390187564490173,0.23547418009454157,15,8.958490764964608,9.931688734867144,0.025076621577295014,0.13040125445142528,0.013886970154307588,9.259786310038747,9.520588818941599,pp,occ_mean_pp
2,9.389994515911493,0.23534396076145297,15,8.958490764964607,9.931296228372943,0.025063269245009564,0.13032914138840593,0.013879575879151064,9.259665374523086,9.5203236572999,pp,occ_mean_pp
3,9.390520104400471,0.23471467844655736,15,8.958490764964607,9.931263978451652,0.024994853941750068,0.12998065645798368,0.01384168874704541,9.260539447942488,9.520500760858454,pp,occ_mean_pp
4,9.390557096787768,0.2343340976432983,15,8.958490764964608,9.930483218972062,0.02495422744657578,0.12976989783406498,0.013819190543919425,9.260787198953704,9.520326994621833,pp,occ_mean_pp
5,9.391019088929777,0.23425643294056622,15,8.95952877029017,9.93110816355908,0.0249447297170027,0.12972688855526085,0.01381393087659508,9.261292200374516,9.520745977485038,pp,occ_mean_pp
6,9.391080556357302,0.2337055247592082,15,8.95952877029017,9.929931037286089,0.024885903529067374,0.12942180577332782,0.013781354019555886,9.261658750583974,9.52050236213063,pp,occ_mean_pp
7,9.39096154644486,0.2341568414285034,15,8.95952877029017,9.930761702972951,0.024934277525302855,0.12967173661418394,0.01380814264576281,9.261289809830677,9.520633283059043,pp,occ_mean_pp
8,9.39105176260059,0.23363815738388052,15,8.95952877029017,9.929931037286089,0.02487880626048013,0.1293844989643677,0.013777423683216744,9.261667263636221,9.520436261564958,pp,occ_mean_pp
9,15.625506250072418,0.2771446308278412,15,15.156591032875928,16.190200154880277,0.017736681704412408,0.15347758089620536,0.009822246936510877,15.472028669176213,15.778983830968622,pp,occ_mean_pp
10,15.62571123511021,0.2786593012294035,15,15.15183469822845,16.190200154880277,0.017833383520058255,0.1543163774061449,0.009875798617051334,15.471394857704064,15.780027612516355,pp,occ_mean_pp
11,15.62639745283319,0.27803030556104474,15,15.1581004183005,16.190200154880277,0.017792348261987643,0.1539680512152837,0.009853074048578488,15.472429401617907,15.780365504048474,pp,occ_mean_pp
12,15.627078170544447,0.2792350186891246,15,15.15598916219562,16.190200154880277,0.017868664611626246,0.1546351991084949,0.00989533663432794,15.472442971435951,15.781713369652943,pp,occ_mean_pp
13,15.626438777002283,0.27808388634312015,15,15.1589443861866,16.190342138354744,0.01779573006438174,0.15399772326337965,0.009854946828321557,15.472441053738903,15.780436500265663,pp,occ_mean_pp
14,15.62698030488661,0.27913556170574017,15,15.15687695453298,16.190342138354744,0.017862412075764472,0.15458012166691693,0.00989187409537972,15.472400183219692,15.781560426553527,pp,occ_mean_pp
15,15.62647759765986,0.2778277418332984,15,15.16023150097752,16.190342138354744,0.017779294156150996,0.15385587516186724,0.00984584492572452,15.472621722497994,15.780333472821727,pp,occ_mean_pp
16,15.627245526698564,0.27926631249774986,15,15.157629204054947,16.190342138354747,0.017870475767507065,0.15465252904207683,0.009896339619023631,15.472592997656488,15.78189805574064,pp,occ_mean_pp
1,13.0,0.0,15,13.0,13.0,0.0,0.0,0.0,13.0,13.0,pp,occ_p95_pp
2,14.666666666666666,0.4879500364742667,15,14.0,15.0,0.0332693206687,0.2702177234052425,0.01842393568672108,14.396448943261424,14.936884390071908,pp,occ_p95_pp
3,13.0,0.0,15,13.0,13.0,0.0,0.0,0.0,13.0,13.0,pp,occ_p95_pp
4,14.8,0.4140393356054127,15,14.0,15.0,0.027975630784149504,0.22928734153996544,0.015492387941889556,14.570712658460035,15.029287341539966,pp,occ_p95_pp
5,13.0,0.0,15,13.0,13.0,0.0,0.0,0.0,13.0,13.0,pp,occ_p95_pp
6,14.933333333333334,0.25819888974716104,15,14.0,15.0,0.01729010422414025,0.1429857791944618,0.009574940571057709,14.790347554138872,15.076319112527795,pp,occ_p95_pp
7,13.0,0.0,15,13.0,13.0,0.0,0.0,0.0,13.0,13.0,pp,occ_p95_pp
8,14.933333333333334,0.25819888974716104,15,14.0,15.0,0.01729010422414025,0.1429857791944618,0.009574940571057709,14.790347554138872,15.076319112527795,pp,occ_p95_pp
9,21.0,0.0,15,21.0,21.0,0.0,0.0,0.0,21.0,21.0,pp,occ_p95_pp
10,22.0,0.0,15,22.0,22.0,0.0,0.0,0.0,22.0,22.0,pp,occ_p95_pp
11,21.0,0.0,15,21.0,21.0,0.0,0.0,0.0,21.0,21.0,pp,occ_p95_pp
12,22.0,0.0,15,22.0,22.0,0.0,0.0,0.0,22.0,22.0,pp,occ_p95_pp
13,21.0,0.0,15,21.0,21.0,0.0,0.0,0.0,21.0,21.0,pp,occ_p95_pp
14,22.0,0.0,15,22.0,22.0,0.0,0.0,0.0,22.0,22.0,pp,occ_p95_pp
15,21.0,0.0,15,21.0,21.0,0.0,0.0,0.0,21.0,21.0,pp,occ_p95_pp
16,22.0,0.0,15,22.0,22.0,0.0,0.0,0.0,22.0,22.0,pp,occ_p95_pp
1,0.1844361621182718,0.02203220026397372,15,0.1475095785440613,0.2337129840546697,0.11945705229891587,0.01220102582624427,0.06615311057286165,0.17223513629202752,0.19663718794451607,ldr,prob_blockedby_ldr
2,0.16183802611826306,0.017992187369793973,15,0.1355363984674329,0.2031890660592255,0.11117404111593768,0.00996374125776438,0.061566131871154804,0.15187428486049867,0.17180176737602745,ldr,prob_blockedby_ldr
3,0.10502299800539205,0.01619358790272261,15,0.0805025593299209,0.1457858769931662,0.15419087447771396,0.008967710072232259,0.08538806016346859,0.09605528793315979,0.11399070807762432,ldr,prob_blockedby_ldr
4,0.08547771384476362,0.012525215167833276,15,0.0670760510155881,0.1116173120728929,0.14653193919739552,0.006936232964071543,0.08114668317719002,0.07854148088069207,0.09241394680883516,ldr,prob_blockedby_ldr
5,0.22157588284099736,0.024374581969339143,15,0.1810344827586207,0.2742596810933941,0.1100055730651441,0.013498193577974348,0.06091905583271731,0.208077689263023,0.2350740764189717,ldr,prob_blockedby_ldr
